route_id,day_of_week,hour,sample_count,avg_delay_seconds,max_delay_seconds
17325_700,Friday,21,373,7.7,180.0
17457_700,Friday,21,454,-13.2,180.0
17464_700,Friday,21,122,9.3,60.0
27276_700,Friday,21,15,744.0,840.0
17459_900,Friday,21,739,65.8,420.0
17381_700,Friday,21,119,12.1,60.0
17296_700,Friday,21,100,22.2,120.0
17461_700,Friday,21,420,7.7,120.0
17311_700,Friday,21,464,19.0,180.0
17314_700,Friday,21,285,-0.2,60.0
17455_700,Friday,21,631,5.6,180.0
17460_900,Friday,21,1172,25.6,540.0
23414_700,Friday,21,181,-32.8,0.0
17348_700,Friday,21,264,-12.3,120.0
17373_700,Friday,21,283,18.8,60.0
17407_700,Friday,21,45,-4.0,0.0
17454_700,Friday,21,126,18.6,180.0
17514_400,Friday,21,1164,12.4,360.0
17315_700,Friday,21,106,29.4,240.0
17363_700,Friday,21,106,7.3,120.0
17525_400,Friday,21,569,8.1,120.0
17299_700,Friday,21,285,52.6,180.0
17367_700,Friday,21,388,-10.4,120.0
17445_700,Friday,21,131,0.9,60.0
17518_400,Friday,21,436,8.4,60.0
17297_700,Friday,21,261,8.7,120.0
17375_700,Friday,21,45,13.3,60.0
17281_700,Friday,21,140,6.0,180.0
17313_700,Friday,21,120,0.0,0.0
17320_700,Friday,21,602,-22.8,120.0
17339_700,Friday,21,427,32.2,180.0
17341_700,Friday,21,459,3.5,60.0
17377_700,Friday,21,152,-7.5,120.0
17354_700,Friday,21,148,53.1,120.0
17280_700,Friday,21,136,577.0,3540.0
17521_400,Friday,21,518,-2.2,60.0
17419_900,Friday,21,175,0.0,0.0
17305_700,Friday,21,748,3.1,180.0
17441_700,Friday,21,916,40.3,240.0
17450_700,Friday,21,198,11.8,120.0
17527_700,Friday,21,19,22.1,180.0
17328_700,Friday,21,219,511.2,1620.0
17537_700,Friday,21,84,7.1,60.0
17516_400,Friday,21,60,0.0,0.0
17355_700,Friday,21,335,5.9,180.0
17452_900,Friday,21,825,2.0,420.0
17744_700,Friday,21,62,12.6,120.0
23154_700,Friday,21,46,0.0,0.0
17331_700,Friday,21,96,10.6,120.0
